Longest code length: 11
Largest symbol: 256

code length, code, symbol, code LSB->MSB, code MSB->LSB
2, 2, 0, 01, 10
5, 21, 8, 10101, 10101
5, 27, 1, 11011, 11011
6, 28, 104, 001110, 011100
6, 31, 128, 111110, 011111
6, 32, 195, 000001, 100000
6, 36, 255, 001001, 100100
6, 45, 13, 101101, 101101
6, 55, 32, 111011, 110111
6, 63, 7, 111111, 111111
7, 4, 67, 0010000, 0000100
7, 8, 126, 0001000, 0001000
7, 9, 196, 1001000, 0001001
7, 11, 11, 1101000, 0001011
7, 16, 6, 0000100, 0010000
7, 19, 12, 1100100, 0010011
7, 37, 16, 1010010, 0100101
7, 39, 48, 1110010, 0100111
7, 41, 129, 1001010, 0101001
7, 47, 254, 1111010, 0101111
7, 48, 101, 0000110, 0110000
7, 52, 9, 0010110, 0110100
7, 64, 117, 0000001, 1000000
7, 72, 2, 0001001, 1001000
7, 73, 232, 1001001, 1001001
7, 76, 130, 0011001, 1001100
7, 80, 65, 0000101, 1010000
7, 89, 116, 1001101, 1011001
7, 101, 127, 1010011, 1100101
7, 104, 125, 0001011, 1101000
7, 105, 10, 1001011, 1101001
7, 108, 3, 0011011, 1101100
7, 124, 66, 0011111, 1111100
7, 125, 131, 1011111, 1111101
8, 1, 134, 10000000, 00000001
8, 12, 110, 00110000, 00001100
8, 15, 132, 11110000, 00001111
8, 17, 5, 10001000, 00010001
8, 23, 118, 11101000, 00010111
8, 24, 237, 00011000, 00011000
8, 25, 119, 10011000, 00011001
8, 33, 68, 10000100, 00100001
8, 40, 105, 00010100, 00101000
8, 57, 14, 10011100, 00111001
8, 60, 97, 00111100, 00111100
8, 65, 102, 10000010, 01000001
8, 67, 29, 11000010, 01000011
8, 71, 114, 11100010, 01000111
8, 75, 120, 11010010, 01001011
8, 81, 69, 10001010, 01010001
8, 83, 52, 11001010, 01010011
8, 84, 192, 00101010, 01010100
8, 87, 138, 11101010, 01010111
8, 93, 194, 10111010, 01011101
8, 103, 136, 11100110, 01100111
8, 111, 124, 11110110, 01101111
8, 115, 123, 11001110, 01110011
8, 116, 139, 00101110, 01110100
8, 120, 47, 00011110, 01111000
8, 121, 115, 10011110, 01111001
8, 131, 133, 11000001, 10000011
