Second table total size: 456

byte prefix, table base index, number of codes with this prefix
0, 0, 3
3, 8, 3
5, 16, 3
7, 24, 3
13, 32, 3
20, 40, 3
29, 48, 4
35, 56, 4
43, 64, 4
44, 72, 3
49, 80, 3
51, 88, 4
56, 96, 2
61, 104, 3
68, 112, 2
69, 120, 4
77, 128, 3
79, 136, 2
88, 144, 3
97, 152, 3
99, 160, 4
107, 168, 4
112, 176, 2
113, 184, 4
128, 192, 2
129, 200, 3
141, 208, 4
143, 216, 2
145, 224, 3
148, 232, 3
151, 240, 2
153, 248, 3
157, 256, 3
168, 264, 3
171, 272, 3
172, 280, 3
185, 288, 4
188, 296, 3
189, 304, 3
193, 312, 4
196, 320, 2
197, 328, 4
199, 336, 3
203, 344, 3
205, 352, 4
209, 360, 3
211, 368, 4
215, 376, 4
221, 384, 4
227, 392, 4
235, 400, 3
240, 408, 3
241, 416, 2
243, 424, 3
244, 432, 2
248, 440, 3
249, 448, 4
